path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-0281.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0282.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0283.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0284.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0285.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0286.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0287.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0288.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0289.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-029.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0290.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0291.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0292.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0293.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0294.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0295.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0296.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0297.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0298.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0299.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-03.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-030.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0300.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0301.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0302.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0303.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0304.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0305.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0306.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0307.cnf,SAT,0.001,2,0
